"ifam","zygosity_2G","sex_2","sex_1","predicted_emotional11r_2","predicted_emotional13r_2","EMPQ_emotional11r_2","EMPQ_emotional13r_2","predicted_cognitive11r_2","predicted_cognitive13r_2","EMPQ_cognitive11r_2","EMPQ_cognitive13r_2","predicted_emotional11r_1","predicted_emotional13r_1","EMPQ_emotional11r_1","EMPQ_emotional13r_1","predicted_cognitive11r_1","predicted_cognitive13r_1","EMPQ_cognitive11r_1","EMPQ_cognitive13r_1"
"gs7822","DZ",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.288420540038895,NA,-0.336516299077273,NA,0.0514640659902002,NA,0.73772997845
"gs7833","DZ",1,1,-0.224919018355135,NA,-0.602975387046347,NA,-0.167715330585751,NA,-0.905032113846701,NA,-0.122096279936935,NA,-0.693884478046347,NA,-0.0801494150112304,NA,-0.571698780846701,NA
"gs7855","DZ",2,1,-0.184093503087529,NA,0.263261886902441,NA,-0.0274558013576771,NA,0.0796993159138193,NA,-0.139107266371934,-0.292125999272895,0.487933703953652,0.413634374918635,-0.10593562739518,-0.00858049191340615,-0.238365446846701,-0.278204807393701
"gs7881","DZ",2,2,-0.0729389445997996,NA,-0.373101749097559,NA,0.110864861548803,NA,-0.58696735108618,NA,-0.0103211009874095,NA,-0.645829022097559,NA,-0.157701507203887,NA,-0.80918957308618,NA
"gs7951","MZ",2,NA,0.253309836350341,NA,0.717807341902441,NA,0.0937433768483331,NA,0.41303264891382,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gs7995","MZ",1,NA,0.238651028495425,NA,0.215206431953653,NA,0.159408369333139,NA,0.761634553153299,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gu8006","DZ",1,NA,0.138183310686325,NA,0.306115521953653,NA,-0.0128087951654706,NA,0.761634553153299,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gu8010","DZ",2,1,-0.00226574714732949,-0.151496253172705,-0.373101749097559,-0.0637890270772734,-0.178614303035687,-0.36810798155931,-0.25363401708618,-0.48449224355,-0.199867587765325,0.139073618651016,-0.330248114046347,-0.586365625081365,-0.27430842429865,-0.0252036420051857,0.206078997153299,0.166239636606299
"gu8021","DZ",1,1,-0.0210723471758848,-0.666191784470504,0.487933703953652,-0.950001988081365,-0.0652435918322106,-0.426444622923006,-0.0161432248467011,-0.389315918393701,0.0875371663231353,NA,0.397024612953653,NA,0.17548380247659,NA,0.539412330153299,NA
"gu8043","DZ",1,2,0.160423869516526,0.0210767273778055,0.942479158953652,0.231816193918635,-0.157554493494401,-0.179791626537506,0.094967886153299,-0.0559825853937007,0.114754108954761,0.401517286186855,0.626898250902442,0.845301882922726,0.153593558843153,0.33357847135142,0.74636598291382,0.84884108945
"gu8102","DZ",1,1,-0.0780912509912547,-0.198654648516335,0.397024612953653,-0.586365625081365,-0.45784058890851,-0.388139393378366,0.094967886153299,0.166239636606299,-0.118210727073225,0.238857161877805,0.487933703953652,0.595452556918635,-0.26676756790891,-0.358676460630016,-0.127254335846701,0.832906303606299
"gu8124","DZ",1,2,0.118701384484705,NA,0.306115521953653,NA,0.104189682983839,NA,0.317190108153299,NA,-0.0474483719517493,NA,0.172352795902441,NA,0.0915594106577527,NA,-0.0314117950861803,NA
"gu8146","DZ",1,2,0.0057961992777552,NA,0.124297340953653,NA,0.0313114267011993,NA,-0.460587669846701,NA,-0.0481714322193995,NA,0.0814437049024416,NA,-0.0363691573650973,NA,-0.0314117950861803,NA
"gu8194","DZ",2,2,-0.17656623123641,NA,0.263261886902441,NA,-0.120519812436837,NA,0.52414376091382,NA,0.42938505478163,NA,-0.191283567097558,NA,0.331474315838283,NA,0.19081042691382,NA
"gu8205","MZ",2,2,-0.131568312080329,NA,-0.191283567097558,NA,0.116807669845943,NA,-0.58696735108618,NA,0.307714813492961,NA,-0.464010840097559,NA,0.342352143629133,NA,0.74636598291382,NA
"gu8216","DZ",1,2,0.236638413446345,0.0406662157694054,0.760660976953653,-0.404547443081365,-0.0384273547676607,-0.0795588773627459,0.428301219153299,0.388461858606299,-0.0654231645281695,NA,-0.100374476097559,NA,-0.0834670101123469,NA,-0.92030068408618,NA
"gu8231","DZ",1,1,0.153922644807575,0.247501490007775,0.397024612953653,0.322725283918635,0.227559754066849,0.256511432465414,0.206078997153299,0.9440174146063,-0.0411496770155845,-0.302805448618364,0.578842794953652,-0.768183806081365,0.238421671077789,0.131959919497014,0.094967886153299,-0.167093696393701
"gu8253","DZ",2,1,-0.0617585422570596,NA,0.354170977902441,NA,-0.108418967285367,NA,-0.25363401708618,NA,-0.00282129060768467,NA,0.578842794953652,NA,0.0351861143234896,NA,0.539412330153299,NA
"gu8264","DZ",2,2,-0.0959781025271693,0.0158987104056153,0.354170977902441,0.390756427922726,-0.00215227416956697,0.00949176576841017,-0.0314117950861803,-0.15115891055,-0.0750867532808594,-0.246746601968765,-0.282192658097558,0.299847336922727,-0.125364133633487,-0.12684506858328,-0.80918957308618,-0.48449224355
